Original_Contig_Name	Bin	Sample
AB_1215_scaffold_100166	NoBin	AB_1215
AB_1215_scaffold_100167	AB_1215_Bin_26	AB_1215
AB_1215_scaffold_100168	NoBin	AB_1215
AB_1215_scaffold_100169	NoBin	AB_1215
AB_1215_scaffold_10017	NoBin	AB_1215
AB_1215_scaffold_100170	NoBin	AB_1215
AB_1215_scaffold_100171	NoBin	AB_1215
AB_1215_scaffold_100172	NoBin	AB_1215
AB_1215_scaffold_100173	NoBin	AB_1215
AB_1215_scaffold_100174	AB_1215_Bin_108	AB_1215
AB_1215_scaffold_100175	NoBin	AB_1215
AB_1215_scaffold_100176	NoBin	AB_1215
AB_1215_scaffold_100177	NoBin	AB_1215
AB_1215_scaffold_100178	NoBin	AB_1215
AB_1215_scaffold_100179	NoBin	AB_1215
AB_1215_scaffold_10018	NoBin	AB_1215
AB_1215_scaffold_100180	NoBin	AB_1215
AB_1215_scaffold_100181	NoBin	AB_1215
AB_1215_scaffold_100182	NoBin	AB_1215
AB_1215_scaffold_100183	NoBin	AB_1215
AB_1215_scaffold_100184	AB_1215_Bin_89	AB_1215
AB_1215_scaffold_100185	NoBin	AB_1215
AB_1215_scaffold_100186	NoBin	AB_1215
AB_1215_scaffold_100187	NoBin	AB_1215
AB_1215_scaffold_100188	NoBin	AB_1215
AB_1215_scaffold_100189	NoBin	AB_1215
AB_1215_scaffold_10019	NoBin	AB_1215
AB_1215_scaffold_100190	NoBin	AB_1215
AB_1215_scaffold_100191	NoBin	AB_1215
AB_1215_scaffold_100192	NoBin	AB_1215
AB_1215_scaffold_100193	NoBin	AB_1215
AB_1215_scaffold_100194	AB_1215_Bin_139	AB_1215
AB_1215_scaffold_100195	NoBin	AB_1215
AB_1215_scaffold_100196	NoBin	AB_1215
AB_1215_scaffold_100197	NoBin	AB_1215
AB_1215_scaffold_100198	NoBin	AB_1215
AB_1215_scaffold_100199	NoBin	AB_1215
AB_1215_scaffold_1002	AB_1215_Bin_95	AB_1215
AB_1215_scaffold_10020	AB_1215_Bin_37	AB_1215
AB_1215_scaffold_100200	NoBin	AB_1215
AB_1215_scaffold_100201	NoBin	AB_1215
AB_1215_scaffold_100202	AB_1215_Bin_74	AB_1215
AB_1215_scaffold_100203	AB_1215_Bin_117	AB_1215
AB_1215_scaffold_100204	NoBin	AB_1215
AB_1215_scaffold_100205	AB_1215_Bin_117	AB_1215
AB_1215_scaffold_100206	NoBin	AB_1215
AB_1215_scaffold_100207	NoBin	AB_1215
AB_1215_scaffold_100208	NoBin	AB_1215
AB_1215_scaffold_100209	NoBin	AB_1215
AB_1215_scaffold_10021	AB_1215_Bin_13	AB_1215
AB_1215_scaffold_100210	NoBin	AB_1215
AB_1215_scaffold_100211	NoBin	AB_1215
AB_1215_scaffold_100212	NoBin	AB_1215
AB_1215_scaffold_100213	NoBin	AB_1215
AB_1215_scaffold_100214	NoBin	AB_1215
AB_1215_scaffold_100215	NoBin	AB_1215
AB_1215_scaffold_100216	NoBin	AB_1215
AB_1215_scaffold_100217	NoBin	AB_1215
AB_1215_scaffold_100218	NoBin	AB_1215
AB_1215_scaffold_100219	AB_1215_Bin_34	AB_1215
AB_1215_scaffold_10022	NoBin	AB_1215
AB_1215_scaffold_100220	NoBin	AB_1215
AB_1215_scaffold_100221	NoBin	AB_1215
AB_1215_scaffold_100222	NoBin	AB_1215
AB_1215_scaffold_100223	NoBin	AB_1215
AB_1215_scaffold_100224	NoBin	AB_1215
AB_1215_scaffold_100225	AB_1215_Bin_115	AB_1215
AB_1215_scaffold_100226	AB_1215_Bin_83	AB_1215
AB_1215_scaffold_100227	AB_1215_Bin_8	AB_1215
AB_1215_scaffold_100228	NoBin	AB_1215
AB_1215_scaffold_100229	AB_1215_Bin_80	AB_1215
AB_1215_scaffold_10023	AB_1215_Bin_54	AB_1215
AB_1215_scaffold_100230	NoBin	AB_1215
AB_1215_scaffold_100231	NoBin	AB_1215
AB_1215_scaffold_100232	NoBin	AB_1215
AB_1215_scaffold_100233	NoBin	AB_1215
AB_1215_scaffold_100234	AB_1215_Bin_14	AB_1215
AB_1215_scaffold_100235	NoBin	AB_1215
AB_1215_scaffold_100236	NoBin	AB_1215
AB_1215_scaffold_100237	AB_1215_Bin_75	AB_1215
AB_1215_scaffold_100238	NoBin	AB_1215
AB_1215_scaffold_100239	NoBin	AB_1215
AB_1215_scaffold_10024	NoBin	AB_1215
AB_1215_scaffold_100240	NoBin	AB_1215
AB_1215_scaffold_100241	AB_1215_Bin_92	AB_1215
AB_1215_scaffold_100242	NoBin	AB_1215
AB_1215_scaffold_100243	NoBin	AB_1215
AB_1215_scaffold_100244	AB_1215_Bin_132	AB_1215
AB_1215_scaffold_100245	NoBin	AB_1215
AB_1215_scaffold_100246	NoBin	AB_1215
AB_1215_scaffold_100247	AB_1215_Bin_19	AB_1215
AB_1215_scaffold_100248	NoBin	AB_1215
AB_1215_scaffold_100249	AB_1215_Bin_95	AB_1215
AB_1215_scaffold_10025	AB_1215_Bin_71	AB_1215
AB_1215_scaffold_100250	NoBin	AB_1215
AB_1215_scaffold_100251	NoBin	AB_1215
AB_1215_scaffold_100252	AB_1215_Bin_35	AB_1215
AB_1215_scaffold_100253	NoBin	AB_1215
AB_1215_scaffold_100254	NoBin	AB_1215
AB_1215_scaffold_100255	NoBin	AB_1215
AB_1215_scaffold_100256	NoBin	AB_1215
AB_1215_scaffold_100257	NoBin	AB_1215
AB_1215_scaffold_100258	AB_1215_Bin_44	AB_1215
AB_1215_scaffold_100259	NoBin	AB_1215
AB_1215_scaffold_10026	NoBin	AB_1215
AB_1215_scaffold_100260	AB_1215_Bin_14	AB_1215
AB_1215_scaffold_100261	NoBin	AB_1215
AB_1215_scaffold_100262	NoBin	AB_1215
AB_1215_scaffold_100263	NoBin	AB_1215
AB_1215_scaffold_100264	NoBin	AB_1215
AB_1215_scaffold_100265	NoBin	AB_1215
AB_1215_scaffold_100266	NoBin	AB_1215
AB_1215_scaffold_100267	AB_1215_Bin_50	AB_1215
AB_1215_scaffold_100268	NoBin	AB_1215
AB_1215_scaffold_100269	NoBin	AB_1215
AB_1215_scaffold_10027	NoBin	AB_1215
AB_1215_scaffold_100270	NoBin	AB_1215
AB_1215_scaffold_100271	NoBin	AB_1215
AB_1215_scaffold_100272	NoBin	AB_1215
AB_1215_scaffold_100273	NoBin	AB_1215
AB_1215_scaffold_100274	NoBin	AB_1215
AB_1215_scaffold_100275	NoBin	AB_1215
AB_1215_scaffold_100276	AB_1215_Bin_96	AB_1215
AB_1215_scaffold_100277	NoBin	AB_1215
AB_1215_scaffold_100278	NoBin	AB_1215
AB_1215_scaffold_100279	NoBin	AB_1215
AB_1215_scaffold_10028	AB_1215_Bin_10	AB_1215
AB_1215_scaffold_100280	NoBin	AB_1215
AB_1215_scaffold_100281	AB_1215_Bin_145	AB_1215
AB_1215_scaffold_100282	NoBin	AB_1215
AB_1215_scaffold_100283	NoBin	AB_1215
AB_1215_scaffold_100284	NoBin	AB_1215
AB_1215_scaffold_100285	NoBin	AB_1215
AB_1215_scaffold_100286	NoBin	AB_1215
AB_1215_scaffold_100287	NoBin	AB_1215
AB_1215_scaffold_100288	NoBin	AB_1215
AB_1215_scaffold_100289	AB_1215_Bin_95	AB_1215
AB_1215_scaffold_10029	NoBin	AB_1215
AB_1215_scaffold_100290	AB_1215_Bin_112	AB_1215
AB_1215_scaffold_100291	NoBin	AB_1215
AB_1215_scaffold_100292	NoBin	AB_1215
AB_1215_scaffold_100293	NoBin	AB_1215
AB_1215_scaffold_100294	NoBin	AB_1215
AB_1215_scaffold_100295	NoBin	AB_1215
AB_1215_scaffold_100296	NoBin	AB_1215
AB_1215_scaffold_100297	NoBin	AB_1215
AB_1215_scaffold_100298	NoBin	AB_1215
AB_1215_scaffold_100299	NoBin	AB_1215
AB_1215_scaffold_1003	NoBin	AB_1215
AB_1215_scaffold_10030	AB_1215_Bin_3	AB_1215
AB_1215_scaffold_100300	NoBin	AB_1215
AB_1215_scaffold_100301	NoBin	AB_1215
AB_1215_scaffold_100302	AB_1215_Bin_87	AB_1215
AB_1215_scaffold_100303	NoBin	AB_1215
AB_1215_scaffold_100304	NoBin	AB_1215
AB_1215_scaffold_100305	NoBin	AB_1215
AB_1215_scaffold_100306	NoBin	AB_1215
AB_1215_scaffold_100307	AB_1215_Bin_125	AB_1215
AB_1215_scaffold_100308	NoBin	AB_1215
AB_1215_scaffold_100309	NoBin	AB_1215
AB_1215_scaffold_10031	AB_1215_Bin_132	AB_1215
AB_1215_scaffold_100310	NoBin	AB_1215
AB_1215_scaffold_100311	AB_1215_Bin_81	AB_1215
AB_1215_scaffold_100312	NoBin	AB_1215
AB_1215_scaffold_100313	NoBin	AB_1215
AB_1215_scaffold_100314	NoBin	AB_1215
AB_1215_scaffold_100315	AB_1215_Bin_84	AB_1215
AB_1215_scaffold_100316	NoBin	AB_1215
AB_1215_scaffold_100317	AB_1215_Bin_14	AB_1215
AB_1215_scaffold_100318	NoBin	AB_1215
